id,vink_nr,vink_date,ground,street,city,result,season,kickoff,gate,ticket,countfor92,rating,club_id,away_club_id,user_id,created_at,updated_at,league_id,programme_link,ticket_link,latitude,longitude
88,89,2008-08-09 00:00:00,Northolme,Northolme. Gainsborough. United Kingdom,,0-1,2008-2009,15:00,461,10.0,false,,114,115,1,2014-02-12 18:22:41.961321,2014-08-14 18:11:51.949791,6,,,53.4035785,-0.773068
89,86,2008-03-15 00:00:00,Borough Park,Borough Park. Workington. United Kingdom,,1-1,2007-2008,15,322,10.0,false,,112,113,1,2014-02-12 18:22:41.975274,2014-08-14 18:11:52.241906,6,,,54.6487162,-3.5510399
90,90,2008-08-10 00:00:00,City Ground,Colwick Road. West Bridgford. United Kingdom,,0-0,2008-2009,13:15,21571,27.0,true,,41,179,1,2014-02-12 18:22:41.989358,2014-08-14 18:11:52.558035,2,,,52.9389973,-1.1317304
91,93,2008-08-13 00:00:00,Ricoh Arena,Phoenix Way. Coventry. United Kingdom,,3-1,2008-2009,19:45,9293,12.0,false,,31,70,1,2014-02-12 18:22:42.003271,2014-08-14 18:11:52.965564,14,,,52.4442233,-1.4971735
92,94,2008-08-14 00:00:00,Bootham Crescent,Bootham Crescent. York. United Kingdom,,1-0,2008-2009,19:45,2603,18.0,true,,118,103,1,2014-02-12 18:22:42.017118,2014-08-14 18:11:53.3404,14,,,53.96878,-1.087901
87,91,2008-08-11 00:00:00,Alder Street,Alder Street. Atherton. United Kingdom,,0-1,2008-2009,19:45,103,5.0,false,,116,117,1,2014-02-12 18:22:41.94353,2014-08-14 18:11:53.599328,45,,,53.5240096,-2.485908
84,108,2009-04-11 00:00:00,Pennydarren Park,Park Terrace. Merthyr Tydfil. United Kingdom,,2-2,2008-2009,15:00,274,9.0,false,,121,122,1,2014-02-12 18:22:41.901675,2014-08-14 18:11:53.900744,45,,,51.7498178,-3.3782847
53,77,2007-09-15 00:00:00,Field Mill,Bishop Street,Mansfield,1-3,2007-2008,15:00,4548,16.0,false,7,110,50,1,2014-02-12 18:22:41.469349,2014-08-14 18:11:54.196209,4,,,53.138734,-1.1997975
93,115,2009-08-21 00:00:00,The Airfield,Bishops Court. Broughton. UK,,2-2,2009-2010,19:30,351,6.0,false,,128,129,1,2014-02-12 18:22:42.031197,2014-08-14 18:11:54.325373,22,,,53.168951,-2.9830173
95,100,2008-12-14 00:00:00,Fratton park,Specks Lane. Portsmouth. United Kingdom,,0-3,2008-2009,13:30,19413,34.0,true,,43,11,1,2014-02-12 18:22:42.060157,2014-08-14 18:11:54.833223,1,,,50.7964126,-1.0626025
96,106,2009-02-21 00:00:00,Loftus Road,Loftus Road. London. United Kingdom,,1-3,2008-2009,17:20,13904,25.0,false,,13,36,1,2014-02-12 18:22:42.074389,2014-08-14 18:11:55.204977,2,,,51.5081481,-0.2302921
98,107,2009-04-10 00:00:00,Memorial Stadium,Alton Road. Bristol. United Kingdom,,1-0,2008-2009,19:45,6666,17.0,false,,73,83,1,2014-02-12 18:22:42.103964,2014-08-14 18:11:55.723257,3,,,51.4856163,-2.5816756
99,101,2008-12-26 00:00:00,The Valley,Floyd Road. SE7. London,,2-2,2008-2009,13:00,21023,25.0,false,,24,13,1,2014-02-12 18:22:42.117906,2014-08-14 18:11:56.001825,2,,,51.4869988,0.0338331
100,98,2008-11-29 00:00:00,Riverside Stadium,Shepherdson Way. Middlesbrough. Verenigd Koninkrijk,,0-0,2008-2009,15:00,32160,32.0,true,,39,11,1,2014-02-12 18:22:42.131752,2014-08-14 18:11:56.241773,1,,,54.5769199,-1.2186025
101,87,2008-04-12 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-1,2007-2008,15:00,26206,17.0,false,,24,44,1,2014-02-12 18:22:42.145701,2014-08-14 18:11:56.54859,2,,,51.4869988,0.0338331
102,88,2008-08-09 00:00:00,Glanford Park,Mansfield Road. Scunthorpe. United Kingdom,,1-2,2008-2009,12:00,8315,10.0,true,,61,37,1,2014-02-12 18:22:42.15999,2014-08-14 18:11:56.770471,3,,,53.5879514,-0.6899263
103,96,2008-09-06 00:00:00,St. James Park,Saint James' Road. Exeter. United Kingdom,,2-1,2008-2009,15:00,3930,13.0,true,,52,23,1,2014-02-12 18:22:42.174463,2014-08-14 18:11:57.029888,3,,,50.7300311,-3.5215086
104,105,2009-02-07 00:00:00,Walkers Stadium,Burnmoor Street. Leicester. Verenigd Koninkrijk,,0-1,2008-2009,17:20,22328,8.0,true,,38,58,1,2014-02-12 18:22:42.188596,2014-08-14 18:11:57.391946,3,,,52.62314,-1.1395007
105,95,2008-08-16 00:00:00,Vicarage Road,vicarage road. Watford. United Kingdom,,1-0,2008-2009,15:00,14413,23.0,true,,45,24,1,2014-02-12 18:22:42.203021,2014-08-14 18:11:57.729868,2,,,51.649097,-0.4057883
107,104,2009-02-07 00:00:00,Bramall Lane,Bramall Lane. Sheffield. Verenigd Koninkrijk,,1-2,2008-2009,12:00,30786,29.0,true,,62,63,1,2014-02-12 18:22:42.231939,2014-08-14 18:11:58.459588,2,,,53.370357,-1.4708743
108,146,2011-08-20 00:00:00,Twerton Park,Dominion Road. Bath. UK,,0-1,2011-2012,15:00,781,14.0,false,,146,147,1,2014-02-12 18:22:42.246549,2014-08-14 18:11:58.90422,5,,,51.3797885,-2.397141
109,137,2010-09-11 00:00:00,Windsor Park,Donegall Avenue. Belfast. Verenigd Koninkrijk,,0-0,2010-2011,15:00,3800,10.0,false,,142,143,1,2014-02-12 18:22:42.260947,2014-08-14 18:11:59.300992,24,,,54.5859271,-5.9516695
110,138,2010-09-13 00:00:00,Oriel Park,Carrickmacross Road. Dundalk. Ierland,,5-1,2010-2011,19:45,2100,10.0,false,,141,130,1,2014-02-12 18:22:42.275879,2014-08-14 18:11:59.559206,23,,,54.0013574,-6.4241689
111,136,2010-09-10 00:00:00,Hunky Dorys Park,Windmill Road. Drogheda. Ierland,,1-3,2010-2011,19:45,783,10.0,false,,140,141,1,2014-02-12 18:22:42.289983,2014-08-14 18:11:59.85108,23,,,53.7217522,-6.3561597
112,134,2010-08-14 00:00:00,New Manor,Awsworth Road. Ilkeston. Verenigd Koninkrijk,,2-1,2010-2011,15:00,272,10.0,false,,139,109,1,2014-02-12 18:22:42.30465,2014-08-14 18:12:00.226831,6,,,52.981709,-1.3058109
113,147,2011-08-21 00:00:00,County Ground,Shrivenham Road. Swindon. UK,,1-2,2011-2012,13:00,12113,19.0,true,,90,84,1,2014-02-12 18:22:42.318766,2014-08-14 18:12:00.455729,4,,,51.6217024,-1.7026958
114,130,2010-05-01 00:00:00,The Valley,Floyd Road. SE7. London,,1-0,2009-2010,15:00,23198,13.0,false,,24,37,1,2014-02-12 18:22:42.332869,2014-08-14 18:12:00.802108,3,,,51.4869988,0.0338331
115,128,2010-04-05 00:00:00,The Valley,Floyd Road. SE7. London,,1-0,2009-2010,15:00,17229,13.0,false,,24,49,1,2014-02-12 18:22:42.347296,2014-08-14 18:12:01.115046,3,,,51.4869988,0.0338331
116,139,2010-12-12 00:00:00,The Valley,Floyd Road. SE7. London,,0-1,2010-2011,15:00,14938,17.0,false,,24,66,1,2014-02-12 18:22:42.361381,2014-08-14 18:12:01.29339,3,,,51.4869988,0.0338331
118,145,2011-04-30 00:00:00,St. James Park,Saint James' Road. Exeter. Verenigd Koninkrijk,,1-0,2010-2011,15:00,7869,21.0,false,,52,85,1,2014-02-12 18:22:42.389625,2014-08-14 18:12:01.977201,3,,,50.7300311,-3.5215086
119,127,2010-01-30 00:00:00,The Valley,Floyd Road. SE7. London,,1-1,2009-2010,15:00,16168,13.0,false,,24,65,1,2014-02-12 18:22:42.403718,2014-08-14 18:12:02.382941,3,,,51.4869988,0.0338331
120,144,2011-04-29 00:00:00,Plainmoor,Westlands Lane. Torquay. United Kingdom,,0-0,2010-2011,19:45,5002,16.0,false,,91,50,1,2014-02-12 18:22:42.418851,2014-08-14 18:12:02.734268,4,,,50.4753822,-3.5251445
121,135,2010-08-15 00:00:00,County Ground,Pavilion Road. Nottingham. United Kingdom,,1-1,2010-2011,13:15,24986,24.0,false,,41,37,1,2014-02-12 18:22:42.432855,2014-08-14 18:12:02.968636,2,,,53.010103,-1.1557616
122,131,2010-05-06 00:00:00,Underhill,Westcombe Drive. Barnet. United Kingdom,,1-0,2009-2010,15:00,4638,15.0,false,,71,60,1,2014-02-12 18:22:42.446943,2014-08-14 18:12:03.222317,4,,,51.6471052,-0.1917215
123,129,2010-04-17 00:00:00,The Valley,Floyd Road. SE7. London,,0-1,2009-2010,15:00,200231,13.0,false,,24,12,1,2014-02-12 18:22:42.460878,2014-08-14 18:12:03.490976,3,,,51.4869988,0.0338331
124,142,2011-04-15 00:00:00,Roots Hall,Roots Hall. Victoria Avenue. Southend-on-Sea. Verenigd Koninkrijk,,4-0,2009-2010,19:45,5217,18.0,true,,89,72,1,2014-02-12 18:22:42.474944,2014-08-14 18:12:03.780606,4,,,51.549269,0.702096
125,140,2010-12-28 00:00:00,Kassam Stadium,Grenoble Road. Oxford. United Kingdom,,2-1,2010-2011,15:00,9440,19.0,true,,84,88,1,2014-02-12 18:22:42.489053,2014-08-14 18:12:04.018305,4,,,51.7146284,-1.2055178
126,143,2011-04-16 00:00:00,Cressing Road,Cressing Road. Braintree. UK,,2-0,2010-2011,15:00,693,12.0,false,,144,145,1,2014-02-12 18:22:42.502934,2014-08-14 18:12:04.240269,7,,,51.8763149,0.5732548
128,117,2009-08-23 00:00:00,Cardiff City Stadium,Ninian Park. Cardiff. United Kingdom,,4-0,2009-2010,13:15,20853,25.0,false,,30,29,1,2014-02-12 18:22:42.531913,2014-08-14 18:12:04.886142,2,,,51.4771368,-3.192251
